Country name;Human Development Index (HDI) ;Happiness;Gross national income (GNI) per capita;Freedom to make life choices
Albania;0,789;5,277299881;15293,32651;0,549
Algeria;0,745;5,329100132;10978,40571;0,252
Argentina;0,849;6,023700237;22047,97131;0,587
Armenia;0,786;5,341700077;15388,29976;0,551
Australia;0,946;7,094600201;49257,1352;0,677
Austria;0,926;7,097300053;56529,66329;0,63
Bahrain;0,888;6,17320013;48731,44564;0,748
Bangladesh;0,67;4,282100201;6511,122178;0,617
Belgium;0,942;6,859099865;53644,03854;0,59
Benin;0,504;4,373700142;3406,072937;0,481
Bosnia and Herzegovina;0,779;5,632500172;16571,41275;0,485
Botswana;0,708;3,435300112;14841,57836;0,48
Brazil;0,76;6,124599934;14615,89235;0,558
Bulgaria;0,799;5,466100216;25920,80375;0,557
Burkina Faso;0,438;4,637599945;2036,997179;0,419
Cambodia;0,6;4,393499851;4291,113168;0,768
Cameroon;0,587;4,973199844;3681,469988;0,405
Canada;0,935;6,960700035;48444,39319;0,656
Chad;0,394;4,39659977;1388,897502;0,393
Chile;0,86;6,333799839;24430,99593;0,546
China;0,788;5,817900181;18024,88747;0,666
Colombia;0,758;5,630400181;15013,92724;0,562
Comoros;0,586;3,545200109;3260,555466;0,117
Costa Rica;0,806;6,608500004;20248,38031;0,683
Croatia;0,878;6,125;34323,80663;0,5
Cyprus;0,907;6,130000114;40136,89453;0,455
Czechia;0,895;6,845200062;39944,66682;0,693
Denmark;0,952;7,586400032;62018,95694;0,734
Dominican Republic;0,766;5,568900108;18653,26836;0,623
Ecuador;0,765;5,558899879;10693,23484;0,56
Egypt;0,728;4,170499802;12360,8163;0,467
El Salvador;0,674;6,121600151;8886,173528;0,713
Estonia;0,899;6,455200195;37151,63384;0,728
Ethiopia;0,492;4,090600014;2368,758391;0,451
Finland;0,942;7,804200172;49522,09853;0,772
France;0,91;6,661300182;47378,74304;0,582
Gabon;0,693;5,034699917;11194,21884;0,346
Gambia;0,495;4,279399872;2089,626826;0,286
Georgia;0,814;5,109099865;15952,02452;0,539
Germany;0,95;6,891799927;55340,19722;0,618
Ghana;0,602;4,605000019;5380,271535;0,526
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
